,Name,Team,Number,Position,Age,Height,Weight,College,Salary
292,Kendrick Perkins,New Orleans Pelicans,5,C,31,179.4882416060817,270,unknown,947276.0
293,Quincy Pondexter,New Orleans Pelicans,20,SF,28,174.45145728888167,220,Washington,3382023.0
294,LaMarcus Aldridge,San Antonio Spurs,12,PF,30,169.28791244230925,240,Texas,19689000.0
295,Kyle Anderson,San Antonio Spurs,1,SF,22,175.6781236158714,230,UCLA,1142880.0
296,Matt Bonner,San Antonio Spurs,15,C,36,173.38394091368886,235,Florida,947276.0
297,Boris Diaw,San Antonio Spurs,33,C,34,177.96879378443876,250,unknown,7500000.0
298,Tim Duncan,San Antonio Spurs,21,C,40,153.46839102757957,250,Wake Forest,5250000.0
299,Manu Ginobili,San Antonio Spurs,20,SG,38,172.23659066106816,205,unknown,2814000.0
300,Danny Green,San Antonio Spurs,14,SG,28,152.8364899134818,215,North Carolina,10000000.0
301,Kawhi Leonard,San Antonio Spurs,2,SF,24,167.92672595418162,230,San Diego State,16407500.0
302,Boban Marjanovic,San Antonio Spurs,40,C,27,160.78160913418125,290,unknown,1200000.0
303,Kevin Martin,San Antonio Spurs,23,SG,33,177.6413773315748,199,Western Carolina,200600.0
304,Andre Miller,San Antonio Spurs,24,PG,40,165.7263503105623,200,Utah,250750.0
305,Patty Mills,San Antonio Spurs,8,PG,27,175.83985860401978,185,Saint Mary's,3578947.0
306,Tony Parker,San Antonio Spurs,9,PG,34,167.68138703802964,185,unknown,13437500.0
307,Jonathon Simmons,San Antonio Spurs,17,SG,26,174.58266221537727,195,Houston,525093.0
308,David West,San Antonio Spurs,30,PF,35,166.64184312012432,250,Xavier,1499187.0
309,Kent Bazemore,Atlanta Hawks,24,SF,26,160.14694960671466,201,Old Dominion,2000000.0
310,Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,152.5649012218271,205,Michigan,1304520.0
311,Kirk Hinrich,Atlanta Hawks,12,SG,35,151.46528356126782,190,Kansas,2854940.0
312,Al Horford,Atlanta Hawks,15,C,30,156.36697933913848,245,Florida,12000000.0
313,Kris Humphries,Atlanta Hawks,43,PF,31,158.25133828379862,235,Minnesota,1000000.0
314,Kyle Korver,Atlanta Hawks,26,SG,35,151.3824067763868,212,Creighton,5746479.0
315,Paul Millsap,Atlanta Hawks,4,PF,31,172.031732299829,246,Louisiana Tech,18671659.0
316,Mike Muscala,Atlanta Hawks,31,PF,24,175.33356343826742,240,Bucknell,947276.0
317,Lamar Patterson,Atlanta Hawks,13,SG,24,169.91217100281162,225,Pittsburgh,525093.0
318,Dennis Schroder,Atlanta Hawks,17,PG,22,162.60738324794573,172,unknown,1763400.0
319,Mike Scott,Atlanta Hawks,32,PF,27,151.36086086313216,237,Virginia,3333333.0
320,Thabo Sefolosha,Atlanta Hawks,25,SF,32,150.43758650462695,220,unknown,4000000.0
321,Tiago Splitter,Atlanta Hawks,11,C,31,163.8790987005864,245,unknown,9756250.0
322,Walter Tavares,Atlanta Hawks,22,C,24,172.70411720351512,260,unknown,1000000.0
323,Jeff Teague,Atlanta Hawks,0,PG,27,158.30902910209926,186,Wake Forest,8000000.0
324,Nicolas Batum,Charlotte Hornets,5,SG,27,163.4349760046555,200,unknown,13125306.0
325,Troy Daniels,Charlotte Hornets,30,SG,24,157.3530495054043,205,Virginia Commonwealth,947276.0
326,Jorge Gutierrez,Charlotte Hornets,12,PG,27,155.1263888136289,189,California,189455.0
327,Tyler Hansbrough,Charlotte Hornets,50,PF,30,172.8575971969819,250,North Carolina,947276.0
328,Aaron Harrison,Charlotte Hornets,9,SG,21,162.09194085344913,210,Kentucky,525093.0
329,Spencer Hawes,Charlotte Hornets,0,PF,28,167.75026673315273,245,Washington,6110034.0
330,Al Jefferson,Charlotte Hornets,25,C,31,170.96598208852734,289,unknown,13500000.0
331,Frank Kaminsky III,Charlotte Hornets,44,C,23,164.71290288556222,240,Wisconsin,2612520.0
332,Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,161.010320433311,232,Kentucky,6331404.0
333,Jeremy Lamb,Charlotte Hornets,3,SG,24,157.44526121394722,185,Connecticut,3034356.0
334,Courtney Lee,Charlotte Hornets,1,SG,30,151.88640001099733,200,Western Kentucky,5675000.0
335,Jeremy Lin,Charlotte Hornets,7,PG,27,162.51738500248908,200,Harvard,2139000.0
336,Kemba Walker,Charlotte Hornets,15,PG,26,168.61076663637556,184,Connecticut,12000000.0
337,Marvin Williams,Charlotte Hornets,2,PF,29,150.6045379987151,237,North Carolina,7000000.0
338,Cody Zeller,Charlotte Hornets,40,C,23,173.25883077186168,240,Indiana,4204200.0
339,Chris Bosh,Miami Heat,1,PF,32,176.00318144847776,235,Georgia Tech,22192730.0
340,Luol Deng,Miami Heat,9,SF,31,170.91282956410538,220,Duke,10151612.0
341,Goran Dragic,Miami Heat,7,PG,30,171.84922663422893,190,unknown,14783000.0
342,Gerald Green,Miami Heat,14,SF,30,163.51097541217587,205,unknown,947276.0
343,Udonis Haslem,Miami Heat,40,PF,36,152.17413991754657,235,Florida,2854940.0
344,Joe Johnson,Miami Heat,2,SF,34,151.32338052517738,240,Arkansas,261894.0
345,Tyler Johnson,Miami Heat,8,SG,24,174.0738612947916,186,Fresno State,845059.0
346,Josh McRoberts,Miami Heat,4,PF,29,179.40530212681452,240,Duke,5543725.0
347,Josh Richardson,Miami Heat,0,SG,22,166.77741752358557,200,Tennessee,525093.0
348,Amar'e Stoudemire,Miami Heat,5,PF,33,151.08174571491912,245,unknown,947276.0
349,Dwyane Wade,Miami Heat,3,SG,34,162.43716080889894,220,Marquette,20000000.0
350,Briante Weber,Miami Heat,12,PG,23,175.90095914004587,165,Virginia Commonwealth,0.0
351,Hassan Whiteside,Miami Heat,21,C,26,161.6638656373692,265,Marshall,981348.0
352,Justise Winslow,Miami Heat,20,SF,20,173.3437407319851,225,Duke,2481720.0
353,Dorell Wright,Miami Heat,11,SF,30,159.0031893935749,205,unknown,0.0
354,Dewayne Dedmon,Orlando Magic,3,C,26,168.8545337783477,245,USC,947276.0
355,Evan Fournier,Orlando Magic,10,SG,23,151.31717244246994,205,unknown,2288205.0
356,Aaron Gordon,Orlando Magic,0,PF,20,175.87029544259175,220,Arizona,4171680.0
357,Mario Hezonja,Orlando Magic,23,SG,21,167.88623581257616,218,unknown,3741480.0
358,Ersan Ilyasova,Orlando Magic,7,PF,29,167.7893798315239,235,unknown,7900000.0
359,Brandon Jennings,Orlando Magic,55,PG,26,154.39668091584255,169,unknown,8344497.0
360,Devyn Marble,Orlando Magic,11,SF,23,154.73970197055917,200,Iowa,845059.0
361,Shabazz Napier,Orlando Magic,13,PG,24,175.6846363050619,175,Connecticut,1294440.0
362,Andrew Nicholson,Orlando Magic,44,PF,26,152.2741408770001,250,St. Bonaventure,2380593.0
363,Victor Oladipo,Orlando Magic,5,SG,24,155.27963023557828,210,Indiana,5192520.0
364,Elfrid Payton,Orlando Magic,4,PG,22,176.66967555459314,185,Louisiana-Lafayette,2505720.0
365,Jason Smith,Orlando Magic,14,PF,30,179.65396122621004,240,Colorado State,4300000.0
366,Nikola Vucevic,Orlando Magic,9,C,25,177.87909146421657,260,USC,11250000.0
367,C.J. Watson,Orlando Magic,32,PG,32,163.03937839322214,175,Tennessee,5000000.0
368,Alan Anderson,Washington Wizards,6,SG,33,168.61682189962113,220,Michigan State,4000000.0
369,Bradley Beal,Washington Wizards,3,SG,22,174.13353033956116,207,Florida,5694674.0
370,Jared Dudley,Washington Wizards,1,SF,30,162.08160223763335,225,Boston College,4375000.0
371,Jarell Eddie,Washington Wizards,8,SG,24,168.61992459750556,218,Virginia Tech,561716.0
372,Drew Gooden,Washington Wizards,90,PF,34,165.37536512638667,250,Kansas,3300000.0
373,Marcin Gortat,Washington Wizards,13,C,32,155.829924761823,240,unknown,11217391.0
374,JJ Hickson,Washington Wizards,21,C,27,160.51237411235556,242,North Carolina State,273038.0
375,Nene Hilario,Washington Wizards,42,C,33,152.80320890244366,250,unknown,13000000.0
376,Markieff Morris,Washington Wizards,5,PF,26,162.06152333715204,245,Kansas,8000000.0
377,Kelly Oubre Jr.,Washington Wizards,12,SF,20,177.06681410543166,205,Kansas,1920240.0
378,Otto Porter Jr.,Washington Wizards,22,SF,23,153.94318691568347,198,Georgetown,4662960.0
379,Ramon Sessions,Washington Wizards,7,PG,30,177.93491991072017,190,Nevada,2170465.0
380,Garrett Temple,Washington Wizards,17,SG,30,165.31224842564473,195,LSU,1100602.0
381,Marcus Thornton,Washington Wizards,15,SF,29,150.991468433984,205,LSU,200600.0
382,John Wall,Washington Wizards,2,PG,25,174.77045191933334,195,Kentucky,15851950.0
383,Darrell Arthur,Denver Nuggets,0,PF,28,164.86220694846838,235,Kansas,2814000.0
384,D.J. Augustin,Denver Nuggets,12,PG,28,159.51677947683376,183,Texas,3000000.0
385,Will Barton,Denver Nuggets,5,SF,25,175.75245643354418,175,Memphis,3533333.0
386,Wilson Chandler,Denver Nuggets,21,SF,29,151.78961820364174,225,DePaul,10449438.0
387,Kenneth Faried,Denver Nuggets,35,PF,26,154.15006526931364,228,Morehead State,11235955.0
388,Danilo Gallinari,Denver Nuggets,8,SF,27,160.0395429846799,225,unknown,14000000.0
389,Gary Harris,Denver Nuggets,14,SG,21,157.41102701676394,210,Michigan State,1584480.0
390,Nikola Jokic,Denver Nuggets,15,C,21,161.433519734926,250,unknown,1300000.0
391,Joffrey Lauvergne,Denver Nuggets,77,C,24,169.33166256592173,220,unknown,1709719.0
392,Mike Miller,Denver Nuggets,3,SG,36,176.29367085072747,218,Florida,947276.0
393,Emmanuel Mudiay,Denver Nuggets,0,PG,20,166.6816513414625,200,unknown,3102240.0
394,Jameer Nelson,Denver Nuggets,1,PG,34,162.32315222182405,190,Saint Joseph's,4345000.0
395,Jusuf Nurkic,Denver Nuggets,23,C,21,151.8500820856347,280,unknown,1842000.0
396,JaKarr Sampson,Denver Nuggets,9,SG,23,176.13209403603287,214,St. John's,258489.0
397,Axel Toupane,Denver Nuggets,6,SG,23,163.61177205754518,210,unknown,0.0
398,Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,171.46770735985498,240,unknown,3950001.0
399,Gorgui Dieng,Minnesota Timberwolves,5,C,26,170.8889841230872,241,Louisville,1474440.0
400,Kevin Garnett,Minnesota Timberwolves,21,PF,40,179.5082583842525,240,unknown,8500000.0
401,Tyus Jones,Minnesota Timberwolves,1,PG,20,163.14268903093202,195,Duke,1282080.0
402,Zach LaVine,Minnesota Timberwolves,8,PG,21,179.36288064398062,189,UCLA,2148360.0
403,Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,178.11132990320556,223,UCLA,2056920.0
404,Adreian Payne,Minnesota Timberwolves,33,PF,25,164.8579371207972,237,Michigan State,1938840.0
405,Nikola Pekovic,Minnesota Timberwolves,14,C,30,152.6599684954353,307,unknown,12100000.0
406,Tayshaun Prince,Minnesota Timberwolves,12,SF,36,175.47690330441685,212,Kentucky,947276.0
407,Ricky Rubio,Minnesota Timberwolves,9,PG,25,164.30101007482241,194,unknown,12700000.0
408,Damjan Rudez,Minnesota Timberwolves,10,SF,29,157.37409452049542,230,unknown,1149500.0
409,Greg Smith,Minnesota Timberwolves,4,PF,25,164.90492874827325,250,Fresno State,0.0
410,Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,153.11863151012219,244,Kentucky,5703600.0
411,Andrew Wiggins,Minnesota Timberwolves,22,SG,21,172.84503259083408,199,Kansas,5758680.0
412,Steven Adams,Oklahoma City Thunder,12,C,22,172.7657120913019,255,Pittsburgh,2279040.0
413,Nick Collison,Oklahoma City Thunder,4,PF,35,153.77600111280526,255,Kansas,3750000.0
414,Kevin Durant,Oklahoma City Thunder,35,SF,27,157.5200688194189,240,Texas,20158622.0
415,Randy Foye,Oklahoma City Thunder,6,SG,32,171.02360809195613,213,Villanova,3135000.0
416,Josh Huestis,Oklahoma City Thunder,34,SF,24,179.72497300711942,230,Stanford,1140240.0
417,Serge Ibaka,Oklahoma City Thunder,9,PF,26,165.94444872679233,245,unknown,12250000.0
418,Enes Kanter,Oklahoma City Thunder,11,C,24,164.42818463678628,245,Kentucky,16407500.0
419,Mitch McGary,Oklahoma City Thunder,33,PF,24,179.6007036426737,255,Michigan,1463040.0
420,Nazr Mohammed,Oklahoma City Thunder,13,C,38,169.00774297627868,250,Kentucky,222888.0
421,Anthony Morrow,Oklahoma City Thunder,2,SG,30,161.93564472683613,210,Georgia Tech,3344000.0
422,Cameron Payne,Oklahoma City Thunder,22,PG,21,152.55693596987325,185,Murray State,2021520.0
423,Andre Roberson,Oklahoma City Thunder,21,SG,24,169.44351057154452,210,Colorado,1210800.0
424,Kyle Singler,Oklahoma City Thunder,5,SF,28,169.16734224470062,228,Duke,4500000.0
425,Dion Waiters,Oklahoma City Thunder,3,SG,24,155.29081660957107,220,Syracuse,5138430.0
426,Russell Westbrook,Oklahoma City Thunder,0,PG,27,170.7387644652912,200,UCLA,16744218.0
427,Cliff Alexander,Portland Trail Blazers,34,PF,20,176.4298484207219,240,Kansas,525093.0
428,Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,150.68969534313493,215,Wake Forest,8042895.0
429,Pat Connaughton,Portland Trail Blazers,5,SG,23,175.6248047203868,206,Notre Dame,625093.0
430,Allen Crabbe,Portland Trail Blazers,23,SG,24,160.13655632889507,210,California,947276.0
431,Ed Davis,Portland Trail Blazers,17,C,27,157.8757326249722,240,North Carolina,6980802.0
432,Maurice Harkless,Portland Trail Blazers,4,SF,23,153.50387581927856,215,St. John's,2894059.0
433,Gerald Henderson,Portland Trail Blazers,9,SG,28,154.9925225000291,215,Duke,6000000.0
434,Chris Kaman,Portland Trail Blazers,35,C,34,150.02004903818982,265,Central Michigan,5016000.0
435,Meyers Leonard,Portland Trail Blazers,11,PF,24,167.49107766026694,245,Illinois,3075880.0
436,Damian Lillard,Portland Trail Blazers,0,PG,25,178.29751558276797,195,Weber State,4236287.0
437,C.J. McCollum,Portland Trail Blazers,3,SG,24,173.54926573235383,200,Lehigh,2525160.0
438,Luis Montero,Portland Trail Blazers,44,SG,23,162.90566483311102,185,Westchester CC,525093.0
439,Mason Plumlee,Portland Trail Blazers,24,C,26,167.66038924222283,235,Duke,1415520.0
440,Brian Roberts,Portland Trail Blazers,2,PG,30,153.42685419146952,173,Dayton,2854940.0
441,Noah Vonleh,Portland Trail Blazers,21,PF,20,173.0940520551843,240,Indiana,2637720.0
442,Trevor Booker,Utah Jazz,33,PF,28,163.7333841158193,228,Clemson,4775000.0
443,Trey Burke,Utah Jazz,3,PG,23,162.85218456570837,191,Michigan,2658240.0
444,Alec Burks,Utah Jazz,10,SG,24,178.73274123448516,214,Colorado,9463484.0
445,Dante Exum,Utah Jazz,11,PG,20,170.735101353043,190,unknown,3777720.0
446,Derrick Favors,Utah Jazz,15,PF,24,167.76066663734076,265,Georgia Tech,12000000.0
447,Rudy Gobert,Utah Jazz,27,C,23,151.07000272948605,245,unknown,1175880.0
448,Gordon Hayward,Utah Jazz,20,SF,26,154.92604579201713,226,Butler,15409570.0
449,Rodney Hood,Utah Jazz,5,SG,23,161.18951310993543,206,Duke,1348440.0
450,Joe Ingles,Utah Jazz,2,SF,28,178.72804752957052,226,unknown,2050000.0
451,Chris Johnson,Utah Jazz,23,SF,26,178.85986007107238,206,Dayton,981348.0
452,Trey Lyles,Utah Jazz,41,PF,20,152.98342233285152,234,Kentucky,2239800.0
453,Shelvin Mack,Utah Jazz,8,PG,26,171.41237049567212,203,Butler,2433333.0
454,Raul Neto,Utah Jazz,25,PG,24,157.7143003657661,179,unknown,900000.0
455,Tibor Pleiss,Utah Jazz,21,C,26,160.52886794251202,256,unknown,2900000.0
456,Jeff Withey,Utah Jazz,24,C,26,173.75863891189746,231,Kansas,947276.0
457,Priyanka,Utah Jazz,34,C,25,152.12393024233063,231,Kansas,947276.0
